Nivel,CCT,LATITUD,LONGITUD
Escuela Primaria,Maria Luisa Ross,19.375208,-99.23039666
Escuela Primaria,Enrique de Olavarría,19.37602264,-99.18815911
Escuela Primaria,Independencia,19.37375504,-99.18455355
Escuela Primaria,Maestro Ernesto Alconedo,19.38104272,-99.16343427
Escuela Primaria,Luis Cabrera,19.37197169,-99.15948673
Escuela Primaria,Reino de Jordania,19.34460055,-99.18129223
Escuela Primaria,No 5 Alfonso Sierra Partida,19.33326233,-99.17236682
Escuela Primaria,21 de Agosto de 1944,19.34249501,-99.18798689
Escuela Primaria,Porfesor Victoriano Guzman,19.32678155,-99.15657605
Escuela Primaria,Ejercito Mexicano,19.33504432,-99.17785948
Escuela Primaria,Melchor Ocampo,19.35172381,-99.1500482
Escuela Primaria,Zambia,19.36959947,-99.20926165
Escuela Primaria,Cayetano Rodriguez,19.38903399,-99.20231254
Escuela Primaria,Carlos A Carrillo,19.36895133,-99.13785055
Escuela Primaria,Santiago R de la Vega,19.38385061,-99.13930649
Escuela Primaria,Diego Rivera,19.3428435,-99.16809635
Escuela Primaria,Republica de Bulgaria,19.34503035,-99.16466293
Escuela Primaria,Luis Hidalgo Monroy,19.35474941,-99.15547788
